species_code,taxocode,scientific_name,english_name,french_name,spanish_name,arabic_name,chinese_name,russian_name,author,family,order,stats_data,isscaap_code,isscaap_group_en,isscaap_group_fr,isscaap_group_es,isscaap_division_code,isscaap_division_en,isscaap_division_fr,isscaap_division_es
YCL,1400100101,Cycleptus elongatus,Blue sucker,,,,,,(Lesueur 1817),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
DEU,1400100201,Deltistes luxatus,Lost River sucker,,,,,,(Cope 1879),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATC,1400100401,Catostomus catostomus,Longnose sucker,,,,,,(Forster 1773),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATO,1400100402,Catostomus commersoni,White sucker,,,,,,(Lacépède 1803),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATS,1400100403,Catostomus latipinnis,Flannelmouth sucker,,,,,,Baird & Girard 1853,Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATU,1400100404,Catostomus macrocheilus,Largescale sucker,,,,,,Girard 1856,Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATE,1400100405,Catostomus tahoensis,Tahoe sucker,,,,,,Gill & Jordan 1878,Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MOG,1400100601,Moxostoma congestum,Gray redhorse,,,,,,(Baird & Girard 1854),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MOE,1400100602,Moxostoma erythrurum,Golden redhorse,,,,,,(Rafinesque 1818),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MOM,1400100603,Moxostoma macrolepidotum,Shorthead redhorse,,,,,,(Lesueur 1817),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LAL,1400100901,Lagochila lacera,Harelip sucker,,,,,,Jordan & Brayton 1877-78,Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BUB,1400101101,Ictiobus cyprinellus,Bigmouth buffalo,Poisson-taureau,,,大口胭脂鱼,,(Valenciennes 1844),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BUF,14001011XX,Ictiobus spp,Buffalofishes nei,Poissons-taureaux nca,,,,Буффало,,Catostomidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MXS,1400102001,Myxocyprinus asiaticus,Chinese sucker,,,,胭脂鱼,,(Bleeker 1865),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
CDO,1400102901,Carpiodes carpio,River carpsucker,,,,,,(Rafinesque 1820),Catostomidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
XYT,1400110601,Xyrauchen texanus,Razorback sucker,,,,,,(Abbott 1861),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ATJ,1400112001,Chasmistes cujus,Cui-ui,,,,,,Cope 1883,Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MIM,1400112801,Minytrema melanops,Spotted sucker,,,,,,(Rafinesque 1820),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ERU,1400112901,Erimyzon sucetta,Lake chubsucker,,,,,,(Lacépède 1803),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
HYN,1400113701,Hypentelium nigricans,Northern hog sucker,,,,,,(Lesueur 1817),Catostomidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
CTM,14001XXXXX,Catostomidae,Suckers nei,Cyprins sucets nca,Chupadores nep,,,,,Catostomidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FBM,1400200102,Abramis brama,Freshwater bream,Brème d'eau douce,Brema común,,欧鳊,Лещ,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FBR,14002001XX,Abramis spp,Freshwater breams nei,Brèmes d'eau douce nca,Bremas nep,,,Лещи,,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FCP,1400200201,Cyprinus carpio,Common carp,Carpe commune,Carpa común,,鲤,Сазан(=карп),Linnaeus 1758,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FPR,1400200202,Cyprinus pellegrini,Barbless carp,,,,大头鲤,,Tchang 1933,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
AAX,1400200401,Aaptosyax grypus,,,,,,,Rainboth 1991,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ABB,1400200501,Abbottina rivularis,Chinese false gudgeon,,,,棒花鱼,,(Basilewsky 1855),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
AHL,1400200601,Acanthalburnus microlepis,Blackbrow bleak,,,,,,(De Filippi 1861),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FTE,1400200701,Tinca tinca,Tench,Tanche,Tenca,,丁鱥,Линь,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ALR,1400201201,Alburnus alburnus,Bleak,Ablette,Alburno,,,Уклейка,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
PTB,1400201301,Barbus barbus,Barbel,Barbeau fluviatile,Barbo común,,,,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BUD,1400201302,Barbus meridionalis,Mediterranean barbel,,,,,,Risso 1827,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BBN,1400201304,Barbus aeneus,Smallmouth yellowfish,,,,,,(Burchell 1822),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BBJ,1400201305,Barbus capensis,Clanwilliam yellowfish,,,,,,Smith 1841,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BUO,1400201308,Barbus holotaenia,Spotscale barb,,,,,,Boulenger 1904,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BUI,1400201310,Barbus macrotaenia,Broadband barb,,,,,,Worthington 1933,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BBU,1400201328,Barbus altianalis,Ripon barbel,,,,,,Boulenger 1900,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BBK,1400201332,Barbus callensis,Algerian barb,,,,,,Valenciennes 1842,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BUL,1400201334,Barbus lineomaculatus,Line-spotted barb,,,,,,Boulenger 1903,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BSN,1400201335,Barbus unitaeniatus,Slender barb,,,,,,Günther 1866,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BUU,1400201337,Barbus paludinosus,Straightfin barb,,,,,,Peters 1852,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BSM,1400201340,Barbus mattozi,Papermouth,,,,,,Guimaraes 1884,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BUQ,1400201341,Barbus marequensis,Largescale yellowfish,,,,,,Smith 1841,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
BST,1400201343,Barbus trimaculatus,Threespot barb,,,,,,Peters 1852,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
HON,1400201401,Chondrostoma nasus,Common nase,Nase commun,Condrostoma común,سمكة شبّوط شائعة,软口鱼,,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
HOY,1400201403,Chondrostoma polylepis,Iberian nase,,,,,,Steindachner 1864,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
AGE,1400201501,Agosia chrysogaster,Longfin dace,,,,,,Girard 1856,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FCC,1400201601,Carassius carassius,Crucian carp,Carassin(=Cyprin),Carpín,,黑鲫,Карась золотой,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
CGO,1400201602,Carassius auratus,Goldfish,Poisson rouge(=Cyprin doré),Pez rojo,,鲫,Карась  серебряный,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
IUV,1400201603,Carassius cuvieri,Japanese white crucian carp,,,,日本白鲫,,Temminck & Schlegel 1846,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
CWG,1400201604,Carassius gibelio,Prussian carp,Carassin argenté,,,银鲫,,(Bloch 1782),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
GOG,1400201701,Gobio gobio,Gudgeon,Goujon,,,,,(Berg 1949),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
GOP,1400201702,Gobio albipinnatus,White-finned gudgeon,,,,,,Lukasch 1933,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FRO,1400201801,Rutilus rutilus,Roach,Gardon,Rutilo,,拟鲤,Плотва,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
RFR,1400201802,Rutilus frisii,Kutum,,,,,Кутум,(Nordmann 1840),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
RWC,1400201812,Rutilus caspicus,Caspian roach,,,,,,(Yakovlev 1870),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FRX,14002018XX,Rutilus spp,Roaches nei,Gardons nca,Rutilos nep,,,,,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
SRE,1400201901,Scardinius erythrophthalmus,Rudd,Rotengle,Escardinio,,,Красноперка,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FID,1400202001,Leuciscus idus,Orfe(=Ide),Ide mélanote,Cachuelo,بُرعان أبيض,圆腹雅罗鱼,Язь,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
FIE,1400202005,Leuciscus leuciscus,Common dace,Vandoise,Leucisco,فاندوازة,雅罗鱼,,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LUY,1400202006,Leuciscus borysthenicus,Dnieper chub,,,,,,(Kessler 1859),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LUH,1400202008,Leuciscus cephalus,Chub,,,,,Голавль,(Linnaeus 1758),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LUS,1400202011,Leuciscus souffia,Vairone,Blageon,,,,,Risso 1827,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
VLS,1400202012,Leuciscus schmidti,Schmidt's dace,,,,,Чебак иссык-кульский,(Herzenstein 1896),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
VLB,1400202013,Leuciscus bergi,Issyk-Kul dace,,,,,Чебачек иссык-кульский,Kashkarov 1925,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
JNE,1400202014,Leuciscus baicalensis,Siberian dace,,,,贝加尔雅罗鱼,,(Dybowski 1874),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LEW,14002020XX,Leuciscus spp,Chubs nei,,,,,,,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ROO,1400202102,Rhodeus ocellatus,Rosy bitterling,,,,,,Kner 1866,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ROR,1400202103,Rhodeus sericeus,Bitterling,,,,,,(Pallas 1776),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
TFZ,1400202302,Tribolodon hakonensis,Big-scaled redfin,,,,,,(Günther 1877),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
ZTB,1400202303,Tribolodon brandtii,Far Eastern ide,,,,,,(Dybowski 1872),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LCB,1400202405,Labeo calbasu,Orangefin labeo,Labéo,Labeo,لابِييُو,蓝野鲮,Калбасу,(Hamilton 1822),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LBF,1400202409,Labeo fimbriatus,Fringed-lipped peninsula carp,,,,,,(Bloch 1795),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LBI,1400202410,Labeo gonius,Kuria labeo,,,,,,(Hamilton 1822),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LRH,1400202415,Labeo rohita,Roho labeo,Labéo Roho,Labeo Roho,لبيس روهو,南亚野鲮,Роху,(Hamilton 1822),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LBV,1400202417,Labeo altivelis,Rednose labeo,,,,,,Peters 1852,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LBY,1400202419,Labeo cylindricus,Redeye labeo,,,,,,Peters 1868,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LOC,1400202426,Labeo victorianus,Ningu,,,,,,Boulenger 1901,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
LBP,1400202430,Labeo capensis,Orange River mudfish,,,,,,(Smith 1841),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
EOU,1400202435,Labeo umbratus,Moggel,,,,,,(Smith 1841),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MOH,1400202436,Labeo chrysophekadion,Black sharkminnow,,,,黑野鲮,,(Bleeker 1850),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
RHI,14002024XX,Labeo spp,Rhinofishes nei,Labéos nca,Labeos nep,,,,,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
MUC,1400202502,Cirrhinus molitorella,Mud carp,Carpe de vase,Carpa de fango,شبّوط الوحل,鲮,Циррина ильная,(Valenciennes 1844),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
CMG,1400202503,Cirrhinus mrigala,Mrigal carp,,,,,Мригала (=мригаль),(Hamilton 1822),Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
RNE,1400202504,Cirrhinus reba,Reba carp,,,,,,(Hamilton 1822),Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
RNM,1400202505,Cirrhinus microlepis,Small scale mud carp,,,,,Циррина ильная мелкочешуйчатая,Sauvage 1878,Cyprinidae,Cypriniformes,Yes,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
AVL,1400202601,Algansea lacustris,Pátzcuaro chub,,Acúmara,,,,Steindachner 1895,Cyprinidae,Cypriniformes,No,11.0,"Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos",1.0,Freshwater fishes,Poissons d'eau douce,Peces de agua dulce
